Informazioni cronologiche,Indica la tua fascia d'età,Usi un dispositivo Android o iOS?,Hai utilizzato mezzi pubblici recentemente?,Con quale frequenza utilizzi i mezzi pubblici?,In quale provincia prendi principalmente i mezzi?,Indica quali tra i seguenti mezzi hai usato,"Secondo te, quali di questi disservizi impattano di più sulla qualità del trasporto pubblico?",Quali di queste applicazioni di mobilità hai utilizzato nell'ultima settimana?,Quanto reputi affidabili le informazioni circa la mobilità fornite dalle app che usi?,"Quanto pensi che l'aggiunta di informazioni provenienti da altri utenti possa migliorare l'esperienza di un'app di mobilità? (Segnalazione di autovelox, ritardi su una linea, traffico, etc...)",Quanto ti piacerebbe aiutare altri utenti fornendo informazioni sulla mobilità?,"Salito su un mezzo pubblico, condivideresti (anonimamente) la tua posizione per aiutare un'app a fornire informazioni ad altri utenti?",Come preferiresti segnalare la tua salita sul mezzo pubblico?,Quanto ti interesserebbe una classifica degli utenti che hanno segnalato più ritardi?,"Quanto ti interesserebbe sbloccare nuovi modi di partecipare alla community in base alla partecipazione? (moderazione, reazioni ad altri utenti)","Se segnalare ritardi ti permettesse di sbloccare elementi di customizzazione (Avatar, modifiche estetiche, etc...), saresti invogliato a partecipare di più?",Se ogni minuto di ritardo segnalato corrispondesse ad una donazione a un'organizzazione non-profit di tua scelta: saresti invogliato a partecipare di più?,Hai suggerimenti?
01/05/2023 15.47.08,18-25,Android,Si,Almeno una volta a settimana,Milano,"Tram, Metro, Bus","Ritardi, Irregolarità del servizio, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,5,4,Si,Scannerizzando un QR code sul mezzo,5,1,0,4,
01/05/2023 15.47.20,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Treno, Tram, Bus, Metro","Ritardi, Irregolarità del servizio, Mancanza di copertura, Sovraffollamento dei mezzi","Moovit, Google Maps, Maps (Apple), App Cotral",3,5,3,Si,Scannerizzando un QR code sul mezzo,2,3,1,5,
01/05/2023 15.47.24,18-25,Android,Si,Almeno una volta al mese,Napoli,"Treno, Bus, Metro, Tram","Ritardi, Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,5,5,5,No,,0,1,0,5,
01/05/2023 15.47.56,25-35,Android,Si,Almeno una volta al giorno,Bologna,"Metro, Tram, Treno, Bus","Mancanza di copertura, Scarsa accessibilità, Sovraffollamento dei mezzi","Moovit, Google Maps",4,5,4,Si,Tramite un bottone in-app,0,0,0,1,
01/05/2023 15.49.28,18-25,iOS,Si,Almeno una volta al mese,Napoli,Metro,"Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Google Maps, Maps (Apple)",4,5,4,Si,Tramite un bottone in-app,5,4,4,5,
01/05/2023 15.51.37,18-25,iOS,No,,,,,,,,,,,,,,,
01/05/2023 15.51.48,18-25,Android,Si,Almeno una volta al giorno,Roma,"Metro, Treno, Tram, Bus","Ritardi, Irregolarità del servizio","Google Maps, Moovit",4,4,4,Si,Automaticamente grazie alla geolocalizzazione,2,1,2,5,
01/05/2023 15.56.15,18-25,iOS,No,,,,,,,,,,,,,,,
01/05/2023 16.00.10,25-35,Android,Si,Almeno una volta a settimana,Milano,Metro,"Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,5,3,3,No,,3,3,3,3,
01/05/2023 16.00.10,18-25,Android,Si,Almeno una volta al giorno,Salerno,"Metro, Treno, Bus","Mancanza di copertura, Sovraffollamento dei mezzi",Google Maps,4,4,4,Si,Automaticamente grazie alla geolocalizzazione,0,1,0,2,
